Experiment_ID,Trial_Number,Length_m,Theoretical_Period_s,Experimental_Period_s
EXP001,1,0.2,0.8971,0.9161
EXP002,2,0.2,0.8971,0.9021
EXP003,3,0.2,0.8971,0.9194
EXP004,4,0.2,0.8971,0.9386
EXP005,5,0.2,0.8971,0.9
EXP006,6,0.2,0.8971,0.9
EXP007,7,0.2,0.8971,0.9399
EXP008,8,0.2,0.8971,0.922
EXP009,9,0.2,0.8971,0.8948
EXP010,10,0.2,0.8971,0.9171
EXP011,1,0.3,1.0988,1.0966
EXP012,2,0.3,1.0988,1.0965
EXP013,3,0.3,1.0988,1.1121
EXP014,4,0.3,1.0988,1.1897
EXP015,5,0.3,1.0988,1.0688
EXP016,6,0.3,1.0988,1.0944
EXP017,7,0.3,1.0988,1.0845
EXP018,8,0.3,1.0988,1.1137
EXP019,9,0.3,1.0988,1.0868
EXP020,10,0.3,1.0988,1.0757
EXP021,1,0.4,1.2687,1.309
EXP022,2,0.4,1.2687,1.2718
EXP023,3,0.4,1.2687,1.2782
EXP024,4,0.4,1.2687,1.2454
EXP025,5,0.4,1.2687,1.2648
EXP026,6,0.4,1.2687,1.2792
EXP027,7,0.4,1.2687,1.2514
EXP028,8,0.4,1.2687,1.285
EXP029,9,0.4,1.2687,1.2635
EXP030,10,0.4,1.2687,1.2703
EXP031,1,0.5,1.4185,1.4133
EXP032,2,0.5,1.4185,1.4673
EXP033,3,0.5,1.4185,1.4262
EXP034,4,0.5,1.4185,1.4032
EXP035,5,0.5,1.4185,1.4446
EXP036,6,0.5,1.4185,1.3996
EXP037,7,0.5,1.4185,1.4311
EXP038,8,0.5,1.4185,1.2884
EXP039,9,0.5,1.4185,1.3973
EXP040,10,0.5,1.4185,1.4308
EXP041,1,0.6,1.5539,1.5781
EXP042,2,0.6,1.5539,1.5657
EXP043,3,0.6,1.5539,1.5593
EXP044,4,0.6,1.5539,1.5553
EXP045,5,0.6,1.5539,1.5294
EXP046,6,0.6,1.5539,1.5461
EXP047,7,0.6,1.5539,1.5518
EXP048,8,0.6,1.5539,1.5851
EXP049,9,0.6,1.5539,1.5695
EXP050,10,0.6,1.5539,1.5231
EXP051,1,0.7,1.6784,1.6935
EXP052,2,0.7,1.6784,1.6779
EXP053,3,0.7,1.6784,1.6715
EXP054,4,0.7,1.6784,1.6999
EXP055,5,0.7,1.6784,1.8511
EXP056,6,0.7,1.6784,1.7069
EXP057,7,0.7,1.6784,1.6679
EXP058,8,0.7,1.6784,1.6796
EXP059,9,0.7,1.6784,1.6937
EXP060,10,0.7,1.6784,1.7079
EXP061,1,0.8,1.7943,1.7917
EXP062,2,0.8,1.7943,1.7982
EXP063,3,0.8,1.7943,1.7779
EXP064,4,0.8,1.7943,1.776
EXP065,5,0.8,1.7943,1.8202
EXP066,6,0.8,1.7943,1.8321
EXP067,7,0.8,1.7943,1.8007
EXP068,8,0.8,1.7943,1.8244
EXP069,9,0.8,1.7943,1.8102
EXP070,10,0.8,1.7943,1.7881
EXP071,1,1.0,2.0061,2.022
EXP072,2,1.0,2.0061,1.9299
EXP073,3,1.0,2.0061,2.0133
EXP074,4,1.0,2.0061,2.0485
EXP075,5,1.0,2.0061,1.9564
EXP076,6,1.0,2.0061,2.0321
EXP077,7,1.0,2.0061,2.016
EXP078,8,1.0,2.0061,2.0075
EXP079,9,1.0,2.0061,2.0161
EXP080,10,1.0,2.0061,1.9703
