Experiment_ID,Trial_Number,Length_m,Theoretical_Period_s,Experimental_Period_s,Error_s,Absolute_Error_s,Relative_Error,Percentage_Error,Error_Category,Outlier_Flag
EXP001,1,0.2,0.8971,0.9161,0.019,0.019,0.021179,2.1179,High Error (>=2%),False
EXP002,2,0.2,0.8971,0.9021,0.005,0.005,0.005574,0.5574,Low Error (<1%),False
EXP003,3,0.2,0.8971,0.9194,0.0223,0.0223,0.024858,2.4858,High Error (>=2%),False
EXP004,4,0.2,0.8971,0.9386,0.0415,0.0415,0.04626,4.626,High Error (>=2%),True
EXP005,5,0.2,0.8971,0.9,0.0029,0.0029,0.003233,0.3233,Low Error (<1%),False
EXP006,6,0.2,0.8971,0.9,0.0029,0.0029,0.003233,0.3233,Low Error (<1%),False
EXP007,7,0.2,0.8971,0.9399,0.0428,0.0428,0.047709,4.7709,High Error (>=2%),True
EXP008,8,0.2,0.8971,0.922,0.0249,0.0249,0.027756,2.7756,High Error (>=2%),False
EXP009,9,0.2,0.8971,0.8948,-0.0023,0.0023,0.002564,0.2564,Low Error (<1%),False
EXP010,10,0.2,0.8971,0.9171,0.02,0.02,0.022294,2.2294,High Error (>=2%),False
EXP011,1,0.3,1.0988,1.0966,-0.0022,0.0022,0.002002,0.2002,Low Error (<1%),False
EXP012,2,0.3,1.0988,1.0965,-0.0023,0.0023,0.002093,0.2093,Low Error (<1%),False
EXP013,3,0.3,1.0988,1.1121,0.0133,0.0133,0.012104,1.2104,Moderate Error (1-2%),False
EXP014,4,0.3,1.0988,1.1897,0.0909,0.0909,0.082727,8.2727,High Error (>=2%),True
EXP015,5,0.3,1.0988,1.0688,-0.03,0.03,0.027303,2.7303,High Error (>=2%),False
EXP016,6,0.3,1.0988,1.0944,-0.0044,0.0044,0.004004,0.4004,Low Error (<1%),False
EXP017,7,0.3,1.0988,1.0845,-0.0143,0.0143,0.013014,1.3014,Moderate Error (1-2%),False
EXP018,8,0.3,1.0988,1.1137,0.0149,0.0149,0.01356,1.356,Moderate Error (1-2%),False
EXP019,9,0.3,1.0988,1.0868,-0.012,0.012,0.010921,1.0921,Moderate Error (1-2%),False
EXP020,10,0.3,1.0988,1.0757,-0.0231,0.0231,0.021023,2.1023,High Error (>=2%),False
EXP021,1,0.4,1.2687,1.309,0.0403,0.0403,0.031765,3.1765,High Error (>=2%),False
EXP022,2,0.4,1.2687,1.2718,0.0031,0.0031,0.002443,0.2443,Low Error (<1%),False
EXP023,3,0.4,1.2687,1.2782,0.0095,0.0095,0.007488,0.7488,Low Error (<1%),False
EXP024,4,0.4,1.2687,1.2454,-0.0233,0.0233,0.018365,1.8365,Moderate Error (1-2%),False
EXP025,5,0.4,1.2687,1.2648,-0.0039,0.0039,0.003074,0.3074,Low Error (<1%),False
EXP026,6,0.4,1.2687,1.2792,0.0105,0.0105,0.008276,0.8276,Low Error (<1%),False
EXP027,7,0.4,1.2687,1.2514,-0.0173,0.0173,0.013636,1.3636,Moderate Error (1-2%),False
EXP028,8,0.4,1.2687,1.285,0.0163,0.0163,0.012848,1.2848,Moderate Error (1-2%),False
EXP029,9,0.4,1.2687,1.2635,-0.0052,0.0052,0.004099,0.4099,Low Error (<1%),False
EXP030,10,0.4,1.2687,1.2703,0.0016,0.0016,0.001261,0.1261,Low Error (<1%),False
EXP031,1,0.5,1.4185,1.4133,-0.0052,0.0052,0.003666,0.3666,Low Error (<1%),False
EXP032,2,0.5,1.4185,1.4673,0.0488,0.0488,0.034403,3.4403,High Error (>=2%),False
EXP033,3,0.5,1.4185,1.4262,0.0077,0.0077,0.005428,0.5428,Low Error (<1%),False
EXP034,4,0.5,1.4185,1.4032,-0.0153,0.0153,0.010786,1.0786,Moderate Error (1-2%),False
EXP035,5,0.5,1.4185,1.4446,0.0261,0.0261,0.0184,1.84,Moderate Error (1-2%),False
EXP036,6,0.5,1.4185,1.3996,-0.0189,0.0189,0.013324,1.3324,Moderate Error (1-2%),False
EXP037,7,0.5,1.4185,1.4311,0.0126,0.0126,0.008883,0.8883,Low Error (<1%),False
EXP038,8,0.5,1.4185,1.2884,-0.1301,0.1301,0.091717,9.1717,High Error (>=2%),True
EXP039,9,0.5,1.4185,1.3973,-0.0212,0.0212,0.014945,1.4945,Moderate Error (1-2%),False
EXP040,10,0.5,1.4185,1.4308,0.0123,0.0123,0.008671,0.8671,Low Error (<1%),False
EXP041,1,0.6,1.5539,1.5781,0.0242,0.0242,0.015574,1.5574,Moderate Error (1-2%),False
EXP042,2,0.6,1.5539,1.5657,0.0118,0.0118,0.007594,0.7594,Low Error (<1%),False
EXP043,3,0.6,1.5539,1.5593,0.0054,0.0054,0.003475,0.3475,Low Error (<1%),False
EXP044,4,0.6,1.5539,1.5553,0.0014,0.0014,0.000901,0.0901,Low Error (<1%),False
EXP045,5,0.6,1.5539,1.5294,-0.0245,0.0245,0.015767,1.5767,Moderate Error (1-2%),False
EXP046,6,0.6,1.5539,1.5461,-0.0078,0.0078,0.00502,0.502,Low Error (<1%),False
EXP047,7,0.6,1.5539,1.5518,-0.0021,0.0021,0.001351,0.1351,Low Error (<1%),False
EXP048,8,0.6,1.5539,1.5851,0.0312,0.0312,0.020079,2.0079,High Error (>=2%),False
EXP049,9,0.6,1.5539,1.5695,0.0156,0.0156,0.010039,1.0039,Moderate Error (1-2%),False
EXP050,10,0.6,1.5539,1.5231,-0.0308,0.0308,0.019821,1.9821,Moderate Error (1-2%),False
EXP051,1,0.7,1.6784,1.6935,0.0151,0.0151,0.008997,0.8997,Low Error (<1%),False
EXP052,2,0.7,1.6784,1.6779,-0.0005,0.0005,0.000298,0.0298,Low Error (<1%),False
EXP053,3,0.7,1.6784,1.6715,-0.0069,0.0069,0.004111,0.4111,Low Error (<1%),False
EXP054,4,0.7,1.6784,1.6999,0.0215,0.0215,0.01281,1.281,Moderate Error (1-2%),False
EXP055,5,0.7,1.6784,1.8511,0.1727,0.1727,0.102896,10.2896,High Error (>=2%),True
EXP056,6,0.7,1.6784,1.7069,0.0285,0.0285,0.01698,1.698,Moderate Error (1-2%),False
EXP057,7,0.7,1.6784,1.6679,-0.0105,0.0105,0.006256,0.6256,Low Error (<1%),False
EXP058,8,0.7,1.6784,1.6796,0.0012,0.0012,0.000715,0.0715,Low Error (<1%),False
EXP059,9,0.7,1.6784,1.6937,0.0153,0.0153,0.009116,0.9116,Low Error (<1%),False
EXP060,10,0.7,1.6784,1.7079,0.0295,0.0295,0.017576,1.7576,Moderate Error (1-2%),False
EXP061,1,0.8,1.7943,1.7917,-0.0026,0.0026,0.001449,0.1449,Low Error (<1%),False
